mois,consommation_totale,climatisation,chauffage,dju,conso_corr,conso_cvs
2012-01-01,51086,0.0,409.0,409.0,28795.41636879178,28673.07251169739
2012-02-01,54476,0.0,517.9,517.9,26250.344101215804,26247.029178481185
2012-03-01,43156,0.0,215.6,215.6,31405.755914698064,29206.547029755544
2012-04-01,40176,2.2,191.2,193.39999999999998,29635.66045409372,28748.432058325314
2012-05-01,35257,33.5,68.4,101.9,29703.429163764995,29556.530260690422
2012-06-01,33219,93.6,9.6,103.19999999999999,27594.578897944528,29382.223004963696
2012-07-01,34141,103.9,5.6,109.5,28173.227609737653,29248.123477722576
2012-08-01,32247,159.8,2.6,162.4,23396.16679288945,26793.36669923797
2012-09-01,33269,37.5,40.5,78.0,29017.984050772026,26625.612211908458
2012-10-01,38628,9.8,122.0,131.8,31444.873049894268,29800.95837584626
2012-11-01,44260,0.0,266.8,266.8,29719.345445461237,29108.054586579972
2012-12-01,49602,0.0,380.7,380.7,28853.772155498853,28648.110145270704
2013-01-01,53619,0.0,453.1,453.1,28924.957351343655,29932.602679357424
2013-02-01,49639,0.0,452.7,452.7,24966.757433134568,28479.851149753256
2013-03-01,49480,0.0,327.6,327.6,31625.73301324251,28513.29723552762
2013-04-01,40292,0.1,190.4,190.5,29909.711047077835,28262.12564872964
2013-05-01,36821,0.0,150.9,150.9,28596.91914437819,28202.60863552385
2013-06-01,32973,59.4,30.8,90.2,28057.08155614919,28103.362255843997
2013-07-01,34751,182.3,0.0,182.3,24815.612723791543,26238.15067799044
2013-08-01,31591,117.2,1.2,118.4,25138.175789889843,27897.988752945646
2013-09-01,33195,41.3,27.1,68.4,29467.18601375393,28669.30488407956
2013-10-01,37063,18.7,88.1,106.8,31242.378161826313,29040.579717279954
2013-11-01,45310,0.0,337.5,337.5,26916.180988917422,26989.533808879052
2013-12-01,50108,0.0,412.8,412.8,27610.315591778108,27554.826702283972
2014-01-01,49359,0.0,334.1,334.1,31150.481684140177,30999.08895586882
2014-02-01,44580,0.0,290.1,290.1,28769.490681140574,30248.52675409622
2014-03-01,43104,0.0,244.4,244.4,29784.15002575235,29070.080433677747
2014-04-01,36331,0.0,134.1,134.1,29022.522579596523,28537.51542056203
2014-05-01,34695,6.2,82.9,89.10000000000001,29839.031781074198,28616.946288175914
2014-06-01,32608,114.8,3.0,117.8,26187.875912576215,28620.665943270877
2014-07-01,33935,96.9,8.8,105.7,28174.328386751324,28051.984529656937
2014-08-01,31004,64.9,3.7,68.60000000000001,27265.285972858474,27261.971050123855
2014-09-01,33266,54.1,20.2,74.3,29216.63480733797,27017.42592239545
2014-10-01,36301,18.3,73.7,92.0,31286.98118809008,30399.752792321677
2014-11-01,40617,0.0,222.8,222.8,28474.354442461634,28327.45553938706
2014-12-01,49350,0.0,393.9,393.9,27882.369456398734,29670.013563417902
2015-01-01,52536,0.0,419.5,419.5,29673.16422178032,30748.060089765244
2015-02-01,48676,0.0,393.2,393.2,27246.519599532832,30643.719505881352
2015-03-01,45739,0.0,276.1,276.1,30691.49354382252,28299.12170495895
2015-04-01,36898,0.0,143.4,143.4,29082.6706779578,27438.756003909795
2015-05-01,33927,18.5,49.1,67.6,30242.786177335758,29631.495318454494
2015-06-01,33256,113.8,0.0,113.8,27053.87673048534,26848.21472025719
2015-07-01,34912,241.5,0.0,241.5,21750.200618736468,22757.845946750236
2015-08-01,31603,171.1,0.0,171.1,22278.0150139371,25791.10873055579
2015-09-01,33521,20.8,50.2,71.0,29651.485482113,26539.049704398112
2015-10-01,39170,0.0,188.6,188.6,28891.261435584667,27243.676037236473
2015-11-01,41085,0.0,249.5,249.5,27487.198982918213,27092.888474063875
2015-12-01,44727,0.0,289.7,289.7,28938.290762931487,28984.571462626292
2016-01-01,50161,0.0,344.0,344.0,31412.92965981509,32835.467614013985
2016-02-01,46440,0.0,319.4,319.4,29032.634689956223,31792.447653012026
2016-03-01,47270,0.0,318.4,318.4,29917.134894433504,29119.25376475913
2016-04-01,39102,0.2,176.8,177.0,29455.463807521137,27253.665362974778
2016-05-01,34746,9.1,93.7,102.8,29143.37897973544,29216.73179969707
2016-06-01,32852,67.8,8.3,76.1,28704.53443927886,28649.045549784725
2016-07-01,33718,149.0,4.4,153.4,25357.668633184985,25206.27590491363
2016-08-01,32132,141.3,0.3,141.60000000000002,24414.771046016907,25893.807118972552
2016-09-01,33245,86.3,14.5,100.8,27751.379388690002,27037.3097966154
2016-10-01,38590,0.9,191.2,192.1,28120.510719914186,27635.503560879693
2016-11-01,44293,0.0,283.1,283.1,28863.992112481545,27641.90661958326
2016-12-01,50670,0.0,466.4,466.4,25251.10463179581,27683.89466249047
2017-01-01,57406,0.0,532.2,532.2,28400.99117719067,28278.647320096283
2017-02-01,43869,0.0,271.1,271.1,29093.994566208927,29090.67964347431
2017-03-01,42723,0.0,205.4,205.4,31528.658000366337,29329.449115423817
2017-04-01,36650,0.0,180.8,180.8,26796.363030507466,25909.13463473906
2017-05-01,35037,47.5,80.7,128.2,28050.073786012486,27903.174882937914
2017-06-01,33374,155.9,3.7,159.6,24675.76736542584,26463.41147244501
2017-07-01,33877,175.4,1.3,176.70000000000002,24246.813868864323,25321.709736849247
2017-08-01,32110,182.7,2.0,184.7,22043.81223304607,25441.01213939459
2017-09-01,33633,13.4,49.1,62.5,30226.737220169893,27834.365381306325
2017-10-01,36615,5.4,110.0,115.4,30325.67640332169,28681.761729273683
2017-11-01,44960,0.0,328.5,328.5,27056.682829212958,26445.391970331693
2017-12-01,51754,0.0,409.8,409.8,29419.816205209954,29214.154194981806
2018-01-01,48723,0.0,301.4,301.4,32296.638370547294,33304.28369856106
2018-02-01,50202,0.0,430.4,430.4,26745.111992977952,30258.20570959664
2018-03-01,48493,0.0,291.8,291.8,32589.840333529195,29477.404555814308
2018-04-01,36276,8.0,97.8,105.8,30509.878366303594,28862.2929679554
2018-05-01,33994,38.6,47.2,85.80000000000001,29317.882455849227,28923.57194699489
2018-06-01,32614,102.9,0.3,103.2,26989.578897944528,27035.859597639334
2018-07-01,34602,201.8,0.0,201.8,23603.85873648455,25026.39669068345
2018-08-01,32451,196.6,1.5,198.1,21654.509493050493,24414.322456106296
2018-09-01,32683,88.8,13.3,102.1,27118.52912286954,26320.64799319517
2018-10-01,37102,11.7,122.8,134.5,29771.72249780561,27569.924053259252
2018-11-01,43738,0.3,264.9,265.2,29284.54577262489,29357.89859258652
2018-12-01,47553,0.0,355.7,355.7,28167.277267430894,28111.78837793676
2019-01-01,54117,0.0,445.9,445.9,29815.358823580085,29663.96609530873
2019-02-01,44311,0.0,308.7,308.7,27486.786877863135,28965.82295081878
2019-03-01,43145,0.0,237.6,237.6,30195.751416197865,29481.68182412326
2019-04-01,37927,0.8,170.4,171.20000000000002,28596.56499348937,28111.557834454878
2019-05-01,35611,5.6,106.6,112.19999999999999,29496.077057648992,28273.991564750708
2019-06-01,32598,132.2,15.3,147.5,24559.219839600948,26992.00987029561
2019-07-01,34629,220.9,0.0,220.9,22589.90483096847,22467.560973874082
2019-08-01,31564,146.1,1.6,147.7,23514.319798705492,23511.004875970873
2019-09-01,32213,54.8,14.7,69.5,28425.235788828923,26226.026903886403
2019-10-01,36367,11.2,83.8,95.0,31189.480574658235,30302.25217888983
2019-11-01,43945,0.0,284.6,284.6,28434.241805765625,28287.342902691053
2019-12-01,46974,0.0,327.4,327.4,29130.63305413797,30918.277161157137
